Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,ChgSetSize,Age,Buggyness
0.9.0.1,src/jvm/storm/trident/operation/builtin/Negate.java,31,1,1,31,31,31.000,31,31,31.000,1,75,N
0.9.0.1,src/jvm/storm/trident/operation/builtin/SnapshotGet.java,27,1,1,27,27,27.000,27,27,27.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/builtin/Sum.java,25,1,1,25,25,25.000,25,25,25.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/builtin/TupleCollectionGet.java,146,7,3,155,31,22.143,146,31,20.857,35,73,N
0.9.0.1,src/jvm/storm/trident/operation/impl/CaptureCollector.java,25,1,1,25,25,25.000,25,25,25.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/impl/ChainedAggregatorImpl.java,96,1,1,96,96,96.000,96,96,96.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/impl/ChainedResult.java,36,1,1,36,36,36.000,36,36,36.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/impl/CombinerAggStateUpdater.java,39,1,1,39,39,39.000,39,39,39.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/impl/CombinerAggregatorCombineImpl.java,44,1,1,44,44,44.000,44,44,44.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/impl/CombinerAggregatorInitImpl.java,32,1,1,32,32,32.000,32,32,32.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/impl/FilterExecutor.java,36,1,1,36,36,36.000,36,36,36.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/impl/GlobalBatchToPartition.java,12,1,1,12,12,12.000,12,12,12.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/impl/GroupCollector.java,31,1,1,31,31,31.000,31,31,31.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/impl/GroupedAggregator.java,81,4,2,81,78,20.250,81,78,20.250,153,79,N
0.9.0.1,src/jvm/storm/trident/operation/impl/GroupedMultiReducerExecutor.java,78,2,1,80,77,40.000,78,77,39.000,146,79,N
